app,acc,enrol,ftime,ptime,instate,outstate,rbcost,bkcost,phd,sfratio,expend,grad,top10
193,146,55,249,869,7560,7560,4120,800,76,11.9,10922,15,16
1852,1427,928,3885,4519,1742,5226,3590,650,67,10,11935, , 
146,117,89,492,1849,1742,5226,4764,500,39,9.5,9584,39,4
2065,1598,1162,6209,10537,1742,5226,5120,580,48,13.7,8046, , 
2817,1920,984,3958,305,1700,3400,2550,500,53,14.3,7043,40, 
345,320,179,1367,578,5600,5600,3250,350,52,32.8,3971,55, 
1351,892,570,2385,331,2220,4440,3030,300,72,18.9,5883,51,18
4639,3272,1278,4051,405,1500,3000,1960,500,48,18.7, ,15, 
7548,6791,3070,16262,1716,2100,6300,3933,600,85,16.7,6642,69,25
805,588,287,1376,207,11660,11660,4325,400,74,14,8649,72,67
1087,702,625,3772,1034,1704,2970,2536,500,62,19.4,4944,76, 
608,520,127,538,126,8080,8080,3920,500,63,11.4,7703,44,26
1627,1413,887,5160,1475,1740,2610,2600,570,66,20.1,4604,33, 
313,228,137,552,67,5780,5780,3600, ,70,17.9,5159,43,10
1206,957,444,1627,132,1740,1740,2449,570,58,18.8,4272,36, 
686,427,242,746,123,4000,4000,2700,600,35,16.7,4455,15, 
452,331,269,1417,301,6150,6150,3680,550,59,16.6,5412,52,17
949,605,385,1316,135,6639,6639,3999,600,52,14.5,7986, , 
1680,1395,691,2959,402,8236,8236,3700,569,74,14.7,9533,61,34
773,694,230,942,224,11478,11478,4788,500,80,14.4,8594,70, 
629,614,248,866,22,4460,4460,2754,600,47,14.3,5031,47, 
4414,1500,335,908,119,5666,5666,2964,1000,56,15.5,5970,46,30
1471,1281,824,4343,990,1697,2883,2570,300,50,23,4295,48,18
2267,1827,611,2825,144,6735,6735,3395,600,70,12.2,10872,65,20
7593,5972,2682,13780,1599,2172,5424,3530,580,80,17.3,6426,50, 
1797,1260,938,6960,4698,2220,4440,5175,750,96,6.7,16352,33,24
1376,957,445,2727,3394,2480,4960,3500,600,83,12.7,8863,38, 
2328,2110,1047,7516,2943,2208,3108,2850,480,80,13.3,8667,43, 
985,868,645,3477,1929,1905,5715,4430,600,74,18.1,4792,42, 
826,794,662,4539,357,1536,3552,2310,500,54,42.6,2033, , 
1450,1360,744,2993,1020,1392,3216,2328,450,47,16.2,4618, , 
708,334,166,530,182,8644,8644,3922,500,79,12.6,14579,54,46
1734,1729,951,3602,939,1730,3460,2650,450,57,19.6,4739,48,12
2688,2633,1488,7212,1707,1800,3720,2580,500,71,20,5128,39, 
3131,2703,1792,7402,1119,1700,3274,2600,600,71,20.5,4252,36, 
218,215,126,570,59,4800,4800,2850,400,49,12.8,8177, ,15
1490,1490,771,2942,997,1440,2880,2400,500,58,19,4540,68,21
823,721,274,954,6,8800,8800,3195,500,82,13.1,8588,63,52
605,405,284,961,99,6398,6398,3672,400,68,13.3,8118,75,24
1766,1322,1194,5753,4058,2136,5352,2435,800,61,14.7,4724,19, 
910,773,450,1310,61,6530,6530,2800,500,63,13.3,6413,65,31
350,350,222,701,239,2370,2370,1260, ,41,18.1, , ,12
220,210,131,509,97,3952,3952,2292,400,62,18,4061, ,12
792,792,499,2229,270,1500,2340,2240,400,40,17,4653,33,26
3235,3108,2133,9978,1530,1932,5028,3300,500,73,14.8,6820,39,25
1721,1068,806,3128,213,5504,5504,3528,700,71,17.7,6466,73,35
497,393,169,1364,454,6870,6870,3100,400,56,14.2,6219,81, 
12809,10308,3761,22593,7585,1828,7434,4850,700,88,18.9,4602,48,24
5891,4931,1973,11249,2682,1828,6746,3728,620,78,21.7,6157,41,23
14079,12238,4529,21664,4894,1828,7434,4216,620,91,19.6,9683,49,29
321,227,129,693,40,9800,9800, ,400,55,2.3,6562, , 
1080,948,504,2032,122,15500,15500,3700,250,47,12.8,9627, ,25
1118,896,459,2058,111,11388,11388,4546,1000,67,16.6,9329,36, 
308,262,157,592,113,6370,6370,3894, ,56,13,8554,43, 
1916,507,210,912, ,16695,16695,5051,735,100,6.5,62469,83,98
563,247,247,1427,432,12950,12950,5300,612,72,12.4,8985,60,23
6004,4480,1470,12147,6681,1606,8990,3476,600,88,19.9,6288,56, 
2121,698,1126,6790,2988,1432,8803,2550,450, ,20.5,7237,47, 
10278,7746,2576, , ,1053,8233,4400, ,80,20.3,5382,48, 
5609,2756,1268,9358,5222,1788,7454,2900,577,53,20.4,8145,49, 
1493,1194,428,4246,2457,1440,8820,2116, ,90,18.1,8257,24, 
2329,1619,1521,6609,4398, , , , ,93,20.3,6654,49, 
7811,3817,1650,12911,1404,2033,7380,4877,612,72,19.8,8453,59,47
5945,3887,1566,11177,4027, ,5904,4862,630,73,18.5,7867,50, 
4816,3922,1278,11822,1343, ,5904,5050,612, ,18.9,7798,63, 
4540,3294,1483,13494,1254,1802,7706,4368,600,90,21.2,7268,61,5
3467,2190,565,5637,678,1599,9979,4200,600,80,16.4,8650,65, 
4348,3026,1234,13724,8161,1716,9096,4500,700,79,19.2,7530,47, 
9402,7020,2151,16407,5550,1742,8384,5110,612,87,19.5,7930,41,20
7672,5331,2157,15567,7544,1440,5904,5500,576, ,20.3,6691,43, 
5385,3539,1259,13165,5937,1584,8964,6776,630,75,17.4,7651,55, 
5210,4094,1420,14392,7263,1976,8820,4224,350,72,17.4,5957,46, 
2726,982,557,4239,1259, ,7830,5189,610,79,16.1,7304,40,47
1042,830,461,2895,1678,1584,8868,5300,650,89,15.3,7333, , 
322,168,51,237,67,11760,11760,4225,630,90,15.7,10317,23, 
959,771,351,1662,209,16624,16624,5895,600,72,12.8,12692,47,23
1860,767,227,887,1,17000,17000,6010,500,99,9.6,18443,87,71
1377,572,178,654,5,17230,17230,6690,700,100,8.2,21569,100,95
1133,630,220,750,30,17688,17688,5900,650,100,10.4,14820,73,37
3037,1130,390,1500, ,17720,17720,7220,800,94,8.9,20682,91,80
855,632,139,569,7,17238,17238,7350,600,95,8.2,18372,73,60
344,264,97,500,331,12600,12600,5520,630,77,10.4,9773,43,11
258,157,43,273,317,11480,11480,5280,630,75,7.8,10362,44, 
213,173,75,648,150,12790,12790,6100,650,56,11.6,8966,50, 
659,530,325,1067,268,12180,12180,3885,683,69,12.6,8294,49, 
1597,969,226,1431,1522,13540,13540,5050,630,66,14.1,10139,47,16
315,275,115,553,9,13975,13975,6200,500,46,15.4,11304, , 
529,414,132,781,43,14100,14100,6000,600, ,10.3,14299,64,32
657,537,113,1039,466,12474,12474,5678,630,53,11.9,10613,72,37
2324,1319,370,1686,35,16560,16560,5140,558,91,10.5,16196,79,52
167,142,89,414,165,6500,6500,3000,500,38,10.7,5612,67,9
346,274,146,704,63,9900,9900,3670,630,59,10.5,8095,54,51
940,668,385,1316,139,11925,11925,3825,630,48,12.3,9157,69,20
809,687,428,1889,217,10176,10178,4190,800,71,16.1,7895,54,20
3821,2037,680,2488,625,18200,18200,6770,500,95,11.6,16185,66,86
385,340,193,784,127,9520,9520,4124,630,63,18.6,8219,43,18
2643,1611,465,2615,248,13332,13332,6354,630,88,16.1,9619,78,36
13608,2926,1616,6573, ,18669,18669,6795,840, ,9.7,33629,96,88
19873,8252,3215,19532,2061,3949,11648,6246,636,93,15.8,13919,78,95
16343,11399,3124,15429,1888, ,7699,5285,841, ,14.5,15873,76,95
15698,10775,2478,12677,864,4325,12024,5302,790,96,16.1,15934,66,85
22165,10435,3591,21637,1255, ,7689,5580,850,97,11.8,20260,77,93
9798,7566,1470,6922,265, ,7699,5430,780,98,13.4,12528,62,80
19433,11469,2481,13738,711, ,7699,6607,630,100,13.9,17674,66,95
16663,14141,3239,15638,693, ,11218,5990,630,96,18.9,9475,69,90
10758,8559,1717,8713,607, ,7699,6081,633,94,21.3,10860,59,94
1498,1219,306,1369,1587,16530,16530,6205,600,81,8.9,10685,73,26
2306,1721,538,4309,549,13226,13226,6452,750,86,13.6,10074,62,23
4019,2779,888,3891,128,13584,13584,5928,630,88,13.9,10872,100,40
12229,8498,2477,13259,1429,17230,17230,6482,600,90,11.4,17007,68,45
2459,1997,582,2664,299,16320,16320,5326,646,87,11.2,13706,65,36
950,713,351,1276,9,14320,14320,5304,490,77,14.9,8837,87,42
1681,1069,344,1235,30,16249,16249,5699,500,84,13.6,11778,52,35
349,313,111,765,191,13020,13020,5490,900,28,13.5,6944,54, 
52,36,18,88,12,10560,10560,6200,825,100,7.2,31012,55, 
177,136,41,438,103,14500,14500,5600,1200, ,14.4,9742,30, 
941,643,415,2571,1263,1204,8725,3475,300,82,13.4, ,24, 
3934,2735,886,3698,217,13600,13600,5940,630,93,15.6,10813,66,40
125,87,67,208, ,13400,13400,5200,300,68,10.9,11513,71,22
3768,2662,753,3558,436,13592,13592,5916,545,84,14.2,11677,84,42
688,497,144,641,101,10800,10800,4440,570,55,13.1,8415,55,30
1508,1259,569,1922,232,1386,1672,3730,520,63,27.9,3897,60,16
3207,1577,490,1892,7,17142,17142,4190,450,85,11.3,14664,84,56
5530,4007,1697,8463,1498,1829,7731,4128,540,75,21.5,6309,40,12
9478,6312,2194,15646,1829,2124,8412,4180,470,87,19.2,7850,59,29
3440,2823,1123,3793,486,1450,6198,3320,500,89,19.1,4362,46,16
1584,1456,891,3471,911,1434,5016,3798,540,48,28.8,3871,59,6
3512,2975,1662,9544,8177,1494,5790, ,500,75,21.1,4400,25,6
1107,904,308,1142,27,12700,12700,5480,520,90,14.8, ,53, 
1401,1239,605,3716,675,1644,7100,4380,540,63,19.4,5389,36,10
9557,1605,1160,4236, , , , , ,40,8.2,35754,88,72
14063,9320,3436,18465,1541,2230,12563,3811,540,90,19.9,8703,66,28
2974,2001,580,2666,554,15192,15192,4695,400,84,15.9,11762,67,29
2702,1623,604,2315,146,1819,5918,3755,500,76,19.4,4599,52,7
826,620,318,2570,1569,2475,8090,5544,540,93,15,6236, ,12
1199,562,261,3805,2728,1828,9244, ,520,89,18.1,7996,24,30
735,583,310,1001,65,6720,6720,3480,400,56,8.6,4588, ,9
353,340,103,416,230,13290,13290,5720,500,90,11.5,8861,63,17
4158,2532,902,6394,3881,1842,5962,4444,500,69,16.7,4900,49,6
3035,1546,438,1630,232,18740,18740,6300,600,86,10.7,14773,91,42
2486,1503,528,2818,1861,1842,5962,3936, ,69,15.5,5920, ,7
4784,3346,781,2984,1037,15000,15000,6200,700,86,15.1,11220,94,30
1651,1412,336,1411,1914,10600,10600,5020,500,79,15.6,7033,79, 
345,297,92,570,1273,11300,11300,5400,400,30,12.2,9310, ,13
3712,2153,806,2677,714,12030,12030,6140,1000,63,12,8847,86,17
2307,1896,509,1707,1889,11070,11070,5780,400,71,14.8,7120,82,19
3852,2652,1044,5892,2478,1842,5962,4796,700,62,15.8,5245,45,4
292,241,96,543,712,12200,12200,4600,650,87,11.2,8680,76,20
3058,1798,478,1737,244,18810,18810,5690,500,91,10.4,18034,91,46
5099,466,277,930, , , , , ,31,8.3,36704,71,72
598,441,153,527,312,12500,12500,6810,500,76,7.9, ,51,16
5081,4040,1194,3768,1415,14220,14220,6000,500,61,10.7,10625,66,11
4772,1973,712,2714,27,19130,19130,5600,1400,90,12.1,16262,92,60
2172,1493,564,2766,1531,1842,5962,4316,650,71,16.9,5719,50,14
10705,2453,1317,5217,83,19840,19840,6510,630,96,5.8,40386,99,95
9735,7187,2064,12478,1660,3824,11656,5072,700,89,16,10178,71,23
4613,3587,1048,4545,873,15934,15934,6400,450, ,13.6,11803,69,35
1754,1465,505,2159,211,13712,13712,6408,526,90,9.3,12751,75,24
825,645,392,1541,221,4700,4700,5400,663,58,6.6,24182, , 
7875,5062,1492,5471,1470,17450,17450,6328,700,92,7.6,14745,72,38
11115,2881,1390,5881,406,18300,18300,7131,670,91,7.2,19635,95,71
9776,3164,1666,6705,874,7128,7128,3750,300,78,7.5,18287,46, 
149,70,61,203,138,13780,13780,6915,500,84,5.7,13844, ,15
247,189,100,309,639,11412,11412,6430,500,89,8.3,11806,96,19
3895,3866,1717,3658,6327,974,3566, ,1550,51,11.7, , , 
2611,1845,764, , ,4878,4878,3810, ,60,13.7,9432,26, 
633,468,284,823,963,6120,6120,2985,531,25,27.6,6081,36,10
14446,10516,3252,14130,4522,3690,10220,4230,530,82,18.3,10650,75,22
980,807,350,872,448,9890,9890,4674,500,52,14.4,6243,84,10
1275,1275,635,615,1047,5340,5340, ,400,46,12.5,5992,56, 
990,784,279,1811,3144,11290,11290,5360,600,76,12.6,9084,72,18
1646,1150,542,2128,82,5188,5188,3396,650,48,13.8,6817,58,12
492,370,236,1125,482,9600,9600,4600,600, ,23.2,7400,33,10
1947,1580,523,1863,233,13900,13900,4140,750,90,10.6,8923,57,39
161,156,101,409,43,5200,5200,3400,500,55,15.1,6724, , 
3151,2584,958,4772,856,7800,7800,3750,570,37,16.5,12878,44,14
4880,2899,1463,7931,1357,1749,6651,2668,600,87,11.8,7243, , 
3181,2089,826,6035,6414,1800,6700,4060,600,90,15.6,8717,48, 
2400,1800,557,1312,176,4160,4160,3190,500,38,17.1,5304,35, 
1422,1109,366,1363,23,15360,15360,4080,600,82,12.8,15003,59,33
1381,1040,374,1506,970,8025,8025,4865,400,65,17.4,6339,68,20
11651,8683,3023,18906,3242,1780,6680,4060,600,80,23.1,7250,58,50
1344,1008,305,1556,517,9600,9600,4380,700,61,12.1,7679, ,16
1292,956,315,1250,200,13900,13900,5600,400,69,19,12614,65, 
1025,770,257,1893,1220,8550,8550,4740,720,90,20.4,12523,23, 
1777,1151,382,1668,1052,16425,16425,5220,955,81,13.3,11561,90,31
990,683,201,3400,3731,9150,9150,4650,525,47,72.4,3379, , 
1557,1227,489,1964,81,12315,12315,4565,600,85,12.5,10307,73,37
12445,8836,3623,24470,3286,1820,7090,4180,630,88,13.4,14737,66,54
7122,5386,1643,7760,876,16500,16500,6526,630,82,5.9,17500,59,42
7589,4676,1876,14770,10962,1856,6760,3776,500,84,17,11020,47,29
1675,1190,325,1812,374,11690,11690,4564,700, ,13.9,8716, , 
280,143,79,327,110,5590,5590,2900,650,53,15.1,4839,90,5
6986,2959,1918,12330,7152,1716,6618,4234,700,80,22.2,6742,46,25
1558,1254,472,3754,2477,1597,6172,3994,541,83,23.4,8488,53,20
1415,714,338,1345,44,5120,5120,3200,500,52,18.1,3930,69,18
400,280,134,397,62,6200,6200,3270,320,53,14.4,7774,42, 
729,625,349,1432,334,7900,7900,3400,500, ,19,6014,38, 
3306,2079,1071,10208,9310,1695,6597,2494,800,81,13.9,6722,66,42
1800,1253,560,3876,3588,1732,6634,4360,600,82,17.8,6104,47,44
417,349,137,510,63,12960,12960,5450,450,92,7.7,19016,59,60
1461,1097,580,2035,321,1772,4535,2754,675,65,17,6238,62,10
2186,1835,1263,2796,2391,2028,5604,4192,450,45,10.5,5667,88, 
4502,2497,790,2844,88,7908,7908,4238,600,63,14.9,9345,53, 
1452,1158,870,2902,1825,1422,4266, ,495,65,18.9,5513,38, 
1858,1221,480,1620,49,8050,8050,3940,350,80,16.3,10511,63,37
367,274,158,917,479,9592,9592,5879,500,71,13.7,5935,49,12
1436,1228,1202,1320,822,4371,4371,2370,500,62,12.6,4900,18,10
1348,1050,774,2873,1736,1381,2763,3375,800,61,16.5,5332,32, 
8506,4168,1236,5544,192,17600,17600,6000,600,97,5,28457,96,76
2092,1474,649,1903,221,1341,2682,2370, ,59,13.9, ,39, 
7837,4527,2276,8528,654,1899,6489,4438,795,92,19.3,11271,70,89
652,503,297,2229,1283,1341,4023,3219,465,52,17.3,6208,36, 
8388,5423,3034,11404,1007,1808,4571,2987,450,60,19.7,4830,46, 
860,716,330,1703,473,1578,4158,2415, ,50,18.1,7091,26, 
3793,2341,1238,7732,9054,2154,6744,2655,720,87,19,7762,34,9
2402,1824,1161,5438,5556,1422,2844, ,450,62,19.8,4907,21, 
544,399,177,600,363,6987,6987,3585,750,77,12.5,9067,75,15
2286,1668,564,2943,1260,11985,11985,4081,400,93,9.2,8995,91,37
3708,1678,722,2852,153,7050,7050,5490,250,71,17.8,8122,83,41
6407,1500,595,1752,125,6770,6770,4438,600,49,15.7, ,21, 
1612,1077,775,2023,316,1382,4145,2445,180,60,17.5, ,53, 
792,649,186,769,377,12900,12900,4340,600,91,13.1,8568,67,56
1322,636,225,589,97,5460,5460,2814,500,48,10.9,8967,27, 
663,562,127,641,63,5640,5640,3620,600,89,13.2,7309,31,20
1702,1448,726,2726,472,1800,3200,2145, ,60,19,5847,48,12
540,445,165,1115,111,7210,7210,3600,500,62,13.2,7356,58,23
3713,1237,443,1971,107,7000,7000,5565,660,73,12.5,9988,65,47
 , ,182,781,82,6072,6072,3636,400,48,16.8,6015,54,18
11220,7871,3320,19553,2748,1899,5697,3600,525,88,14.7,7881,63,43
3674,3247,1586,5982,1418,1770,4617,2940,600,67,20,5374,45, 
305,287,109,382,46,11500,11500,4500,515,68,7.6,11605,52,38
3668,2604,1331,4538,1179,1806,4650,2973,490,59,19.2,5687,40, 
1868,1788,829,3467,1167,1694,4457,2739,450,70,21.4,4706,52, 
407,317,181,468,31,9700,9700,3744,470,73,19,8614,56,21
1109,688,386,1897,208,8325,8325,5000,1200,14,16.1,6874,55,20
621,546,103,766,1154,10600,10600,5490,700,63,14.1,5073, , 
1038,533,428,2008,23,1780,1780,3360, ,64,16.8, , ,21
3580,2603,1627,11028,2411,1460,4460,3038,687,85,11.8,12833,54,36
1827,1409,1169,4312,2302,6300,6300,6500,500,59,23.3,5301, , 
1499,779,500,2082,871,480,2920,4270,714,72,15.8,11460,31,20
392,351,155,738,430,10260,10260,3597,600,39,13.1,8355,58,16
860,688,285,1928,442,13306,13306,3797,450,62,8.8,6333,78,32
1283,1113,401,1355,40,10938,10938,3660,650,76,13.5,8444,67,31
460,340,167,604,350,10740,10740,3676,350,67,11,7963,74,14
1006,742,275,1127,205,13925,13925,4390,500,73,12.7,10141,67,29
1538,1329,383,1140,10,15248,15248,4323,550,71,12.2,10340,64,33
604,562,328,1048,56,9800,9800,2650,450,61,12.5,7325,87,25
2799,2573,839,3322,726,13420,13420,4770,560,88,15,9473,77,34
555,414,242,996,2281,9100,9100,3100,550,51,23.6,5609,47,14
535,511,233,1098,380,9820,9820,3360,570,32,12.6,6687,32,11
2039,1389,432,1333,30,15688,15688,4618,400,88,9.5,18979,83,56
8427,7424,3441,18676,1715,2291,7550,3224,640,81,19.2,8420,65,26
443,291,127,563,427,9850,9850,3400,500,45,17.2,7349, ,11
1641,1283,527,1663,170,11200,11200,4000,500,61,14.2,7578,70,20
1549,1392,587,2269,85,13240,13240,3560,600,73,13.8,8949,77,38
328,243,93,663,340,9980,9980,3640,500,44,12.3,7791,69, 
586,533,239,950,228,10520,10520,3678,500,48,13,8111,56,16
368,317,159,806,542,10500,10500,3555,500,44,11.3,6695,64,20
325,284,95,364,88,9900,9900,3650,500,32,13.6,6525,21,16
860,811,366,1040,52,9900,9900,3075,300,68,14.9,6357,68,22
1016,872,300,1116,602,11250,11250,4980,550,66,15.8,7411,70,27
897,718,276,1345,390,10450,10450,4020,500,56,14.1,7444,70,12
4144,3379,1853,10135,1448,2291,6197,2930,595,78,16.3,6333,77,18
576,558,137,662,131,10430,10430,3620,400,85,16.5,8767,45,11
9224,8025,3262,15412,2878,2291,8149,3423,640, ,13.1,12194,62,23
663,452,192,1481,1160,8840,8840,3060,500,69,17.4,3733,78,10
1231,1074,345,1295,105,11600,11600,3610,400,66,12.4,7735,67,34
451,306,123,611,146,9980,9980,3640,600,46,12, ,51,10
326,294,140,630,107,10000,10000,3110,495,35,13.3,7057,40,10
3619,3080,1888,7948,5040, ,2093,3069,600,59,17,5705,25, 
587,479,158,678,41,13500,13500,3335,500,67,9.4,9727,55,38
1989,1627,1137,6547,2464, ,4500,2980,500,67,16.5,6266,33, 
1001,551,428,1970,1256,1412,5120,3190,908,60,12.1,6997,44, 
616,514,385,1115,60,9840,9840,2820,450,59,14.8,6261,58,29
3133,2799,1337,7242,1431,1548,5962,3540,832,82,13.5,8805,45,24
1879,1658,497,1950,38,13353,13353,4173,540,78,12.7,9220,71,36
532,481,127,815,801,10250,10250,3850,550, ,9.1,8358,56, 
261,192,111,453,266,9690,9690,4300,500,57,9.7,9337,71,15
500,336,156,421,27,6500,6500,2700,500,76,14.3,8377,51,25
3767,3414,1061,4531,643,10870,10870,4440,2000,75,14.4,7671,85,30
422,305,160,781,240,9810,9810,4160,400,52,17.5,9729,80,30
2419,2160,1117,4852,1991,7310,7310,4350,500,18,13.4,5682,41, 
528,403,186,1168,145,9216,9216,4191,400,56,12.1,7309,75,22
4815,3551,1227,6069,3719,11214,11214,4932,600,69,16.1,8322,63,30
5597,4253,1565,9161,845,1902,5710,3066,120,62,16.2,5682,76,12
560,454,113,484,16,10955,10955,3450,330,62,10.6,9552,53,36
510,387,194,771,53,10310,10310,4530,400,57,14.3,8222,60,20
894,787,262,909,28,8050,8050,3850,600,75,15.6,7348,52,28
1756,1360,478,1911,626,14550,14550,4620,500,80,12.3,12851,56,42
8681,6695,2408,15701,1823,2600,7799,3403,537,77,21,5569,54,10
2086,1507,631,4056,3433,1902,5706, ,552,78,15.1,6453,21,14
3553,1719,777,4543,2694,1848,5544, ,650,47,15.6,6195,18,12
3050,1342,471,1818,23,14360,14360,4090,400,77,12.9,9605,83,55
313,228,137,552,67,9414,9414,4554,500,34,10.6,7840,56,10
150,150,121,338,33,6900,6900,4851,800,24,15.9,8812,80,15
1040,845,286,967,24,15747,15747,4062,400,88,12.7,13224,79,48
979,638,271,968,20,16880,16880,3970,920,91,10.7,15687,77,31
1154,1050,395,2192,1423,10560,10560,4520,500,36,14.3,7701,61,12
3579,2959,868,5244,3417,11500,11500,5330,700,94,6.2,13009,65,25
740,558,177,628,63,9620,9620,3750,550,49,10.8,10642,59,12
1002,555,119,836,684,7680,7680,3740,500,70,17.7,6652,52,16
1444,1261,456,1788,95,11910,11910,4378,450,60,11.4,8149,75,29
601,503,204,671,11,13000,13000,4100,400,91,11.6,11087,56,28
513,347,279,2508,505,9090,9090,4500,650,62,18.3,7905,71,23
1127,884,308,1310,766,11718,11718,7398,450,73,16.4,8871,76,30
465,361,176,879,156,12580,12580,4345,400,76,13.1,10889,74,19
10706,7219,2397,14826,1979,2600,7799,3296,470,73,17.3,6086,56,12
12289,5200,1902,7450,45,16404,16404,5520,759,96,6.8,26385,92,85
678,640,388,1503,293,7700,7700,4140, ,39,14.6, ,54, 
205,179,129,570,22,12816,12816,5344,1125, ,9.6,16506,90,13
1025,707,297,1070,72,10100,10100,4140,450,69,16.3,6880,80,22
591,505,196,907,364,12305,12305,4066,800,57,12.3,8695, ,15
422,367,218,1700,2902,8580,8580,5100,600,75,12.2,8995,77,13
434,321,141,624,269,10950,10950,4600,550,79,12.9,9264,81,28
 , ,2158,16961,2499,2318,6953,3256,600,71,14.9,9158,44, 
2540,2195,994,6063,2550,1824,5472,3598,221,76,16.5,7498,43,13
607,558,269,1222,519,10500,10500,4348,650,81,11.6,8324,75,22
785,647,295,1670,726,10860,10860,4624,600,87,13.7,8953,55,15
746,473,317,834,50,9600,9600,4110,600,54,21.9,5252,28,39
6348,2999,922,3340,39,18930,18930,6380,500,99,5.3,36854,90,68
14939,11652,5705,25422,911,2760,7560,4574,500,87,17.4,8559,81,52
8384,5727,2710,13518,2916,2520,7230,5088,630,82,10,13883,34,22
