app,acc,enrol,ftime,ptime,instate,outstate,rbcost,bkcost,phd,sfratio,expend,grad,top10
0,193.0,146.0,55.0,249.0,869.0,7560.0,7560.0,4120.0,800.0,76.0,11.9,10922.0,15.0,16.0
2,146.0,117.0,89.0,492.0,1849.0,1742.0,5226.0,4764.0,500.0,39.0,9.5,9584.0,39.0,4.0
6,1351.0,892.0,570.0,2385.0,331.0,2220.0,4440.0,3030.0,300.0,72.0,18.9,5883.0,51.0,18.0
8,7548.0,6791.0,3070.0,16262.0,1716.0,2100.0,6300.0,3933.0,600.0,85.0,16.7,6642.0,69.0,25.0
9,805.0,588.0,287.0,1376.0,207.0,11660.0,11660.0,4325.0,400.0,74.0,14.0,8649.0,72.0,67.0
11,608.0,520.0,127.0,538.0,126.0,8080.0,8080.0,3920.0,500.0,63.0,11.4,7703.0,44.0,26.0
16,452.0,331.0,269.0,1417.0,301.0,6150.0,6150.0,3680.0,550.0,59.0,16.6,5412.0,52.0,17.0
18,1680.0,1395.0,691.0,2959.0,402.0,8236.0,8236.0,3700.0,569.0,74.0,14.7,9533.0,61.0,34.0
21,4414.0,1500.0,335.0,908.0,119.0,5666.0,5666.0,2964.0,1000.0,56.0,15.5,5970.0,46.0,30.0
22,1471.0,1281.0,824.0,4343.0,990.0,1697.0,2883.0,2570.0,300.0,50.0,23.0,4295.0,48.0,18.0
23,2267.0,1827.0,611.0,2825.0,144.0,6735.0,6735.0,3395.0,600.0,70.0,12.2,10872.0,65.0,20.0
25,1797.0,1260.0,938.0,6960.0,4698.0,2220.0,4440.0,5175.0,750.0,96.0,6.7,16352.0,33.0,24.0
31,708.0,334.0,166.0,530.0,182.0,8644.0,8644.0,3922.0,500.0,79.0,12.6,14579.0,54.0,46.0
32,1734.0,1729.0,951.0,3602.0,939.0,1730.0,3460.0,2650.0,450.0,57.0,19.6,4739.0,48.0,12.0
36,1490.0,1490.0,771.0,2942.0,997.0,1440.0,2880.0,2400.0,500.0,58.0,19.0,4540.0,68.0,21.0
37,823.0,721.0,274.0,954.0,6.0,8800.0,8800.0,3195.0,500.0,82.0,13.1,8588.0,63.0,52.0
38,605.0,405.0,284.0,961.0,99.0,6398.0,6398.0,3672.0,400.0,68.0,13.3,8118.0,75.0,24.0
40,910.0,773.0,450.0,1310.0,61.0,6530.0,6530.0,2800.0,500.0,63.0,13.3,6413.0,65.0,31.0
43,792.0,792.0,499.0,2229.0,270.0,1500.0,2340.0,2240.0,400.0,40.0,17.0,4653.0,33.0,26.0
44,3235.0,3108.0,2133.0,9978.0,1530.0,1932.0,5028.0,3300.0,500.0,73.0,14.8,6820.0,39.0,25.0
45,1721.0,1068.0,806.0,3128.0,213.0,5504.0,5504.0,3528.0,700.0,71.0,17.7,6466.0,73.0,35.0
48,5891.0,4931.0,1973.0,11249.0,2682.0,1828.0,6746.0,3728.0,620.0,78.0,21.7,6157.0,41.0,23.0
55,563.0,247.0,247.0,1427.0,432.0,12950.0,12950.0,5300.0,612.0,72.0,12.4,8985.0,60.0,23.0
62,7811.0,3817.0,1650.0,12911.0,1404.0,2033.0,7380.0,4877.0,612.0,72.0,19.8,8453.0,59.0,47.0
65,4540.0,3294.0,1483.0,13494.0,1254.0,1802.0,7706.0,4368.0,600.0,90.0,21.2,7268.0,61.0,5.0
75,959.0,771.0,351.0,1662.0,209.0,16624.0,16624.0,5895.0,600.0,72.0,12.8,12692.0,47.0,23.0
76,1860.0,767.0,227.0,887.0,1.0,17000.0,17000.0,6010.0,500.0,99.0,9.6,18443.0,87.0,71.0
78,1133.0,630.0,220.0,750.0,30.0,17688.0,17688.0,5900.0,650.0,100.0,10.4,14820.0,73.0,37.0
80,855.0,632.0,139.0,569.0,7.0,17238.0,17238.0,7350.0,600.0,95.0,8.2,18372.0,73.0,60.0
81,344.0,264.0,97.0,500.0,331.0,12600.0,12600.0,5520.0,630.0,77.0,10.4,9773.0,43.0,11.0
85,1597.0,969.0,226.0,1431.0,1522.0,13540.0,13540.0,5050.0,630.0,66.0,14.1,10139.0,47.0,16.0
88,657.0,537.0,113.0,1039.0,466.0,12474.0,12474.0,5678.0,630.0,53.0,11.9,10613.0,72.0,37.0
89,2324.0,1319.0,370.0,1686.0,35.0,16560.0,16560.0,5140.0,558.0,91.0,10.5,16196.0,79.0,52.0
90,167.0,142.0,89.0,414.0,165.0,6500.0,6500.0,3000.0,500.0,38.0,10.7,5612.0,67.0,9.0
91,346.0,274.0,146.0,704.0,63.0,9900.0,9900.0,3670.0,630.0,59.0,10.5,8095.0,54.0,51.0
92,940.0,668.0,385.0,1316.0,139.0,11925.0,11925.0,3825.0,630.0,48.0,12.3,9157.0,69.0,20.0
93,809.0,687.0,428.0,1889.0,217.0,10176.0,10178.0,4190.0,800.0,71.0,16.1,7895.0,54.0,20.0
95,385.0,340.0,193.0,784.0,127.0,9520.0,9520.0,4124.0,630.0,63.0,18.6,8219.0,43.0,18.0
96,2643.0,1611.0,465.0,2615.0,248.0,13332.0,13332.0,6354.0,630.0,88.0,16.1,9619.0,78.0,36.0
106,1498.0,1219.0,306.0,1369.0,1587.0,16530.0,16530.0,6205.0,600.0,81.0,8.9,10685.0,73.0,26.0
107,2306.0,1721.0,538.0,4309.0,549.0,13226.0,13226.0,6452.0,750.0,86.0,13.6,10074.0,62.0,23.0
108,4019.0,2779.0,888.0,3891.0,128.0,13584.0,13584.0,5928.0,630.0,88.0,13.9,10872.0,100.0,40.0
109,12229.0,8498.0,2477.0,13259.0,1429.0,17230.0,17230.0,6482.0,600.0,90.0,11.4,17007.0,68.0,45.0
110,2459.0,1997.0,582.0,2664.0,299.0,16320.0,16320.0,5326.0,646.0,87.0,11.2,13706.0,65.0,36.0
111,950.0,713.0,351.0,1276.0,9.0,14320.0,14320.0,5304.0,490.0,77.0,14.9,8837.0,87.0,42.0
112,1681.0,1069.0,344.0,1235.0,30.0,16249.0,16249.0,5699.0,500.0,84.0,13.6,11778.0,52.0,35.0
117,3934.0,2735.0,886.0,3698.0,217.0,13600.0,13600.0,5940.0,630.0,93.0,15.6,10813.0,66.0,40.0
119,3768.0,2662.0,753.0,3558.0,436.0,13592.0,13592.0,5916.0,545.0,84.0,14.2,11677.0,84.0,42.0
120,688.0,497.0,144.0,641.0,101.0,10800.0,10800.0,4440.0,570.0,55.0,13.1,8415.0,55.0,30.0
121,1508.0,1259.0,569.0,1922.0,232.0,1386.0,1672.0,3730.0,520.0,63.0,27.9,3897.0,60.0,16.0
122,3207.0,1577.0,490.0,1892.0,7.0,17142.0,17142.0,4190.0,450.0,85.0,11.3,14664.0,84.0,56.0
123,5530.0,4007.0,1697.0,8463.0,1498.0,1829.0,7731.0,4128.0,540.0,75.0,21.5,6309.0,40.0,12.0
124,9478.0,6312.0,2194.0,15646.0,1829.0,2124.0,8412.0,4180.0,470.0,87.0,19.2,7850.0,59.0,29.0
125,3440.0,2823.0,1123.0,3793.0,486.0,1450.0,6198.0,3320.0,500.0,89.0,19.1,4362.0,46.0,16.0
126,1584.0,1456.0,891.0,3471.0,911.0,1434.0,5016.0,3798.0,540.0,48.0,28.8,3871.0,59.0,6.0
129,1401.0,1239.0,605.0,3716.0,675.0,1644.0,7100.0,4380.0,540.0,63.0,19.4,5389.0,36.0,10.0
132,2974.0,2001.0,580.0,2666.0,554.0,15192.0,15192.0,4695.0,400.0,84.0,15.9,11762.0,67.0,29.0
133,2702.0,1623.0,604.0,2315.0,146.0,1819.0,5918.0,3755.0,500.0,76.0,19.4,4599.0,52.0,7.0
137,353.0,340.0,103.0,416.0,230.0,13290.0,13290.0,5720.0,500.0,90.0,11.5,8861.0,63.0,17.0
138,4158.0,2532.0,902.0,6394.0,3881.0,1842.0,5962.0,4444.0,500.0,69.0,16.7,4900.0,49.0,6.0
139,3035.0,1546.0,438.0,1630.0,232.0,18740.0,18740.0,6300.0,600.0,86.0,10.7,14773.0,91.0,42.0
141,4784.0,3346.0,781.0,2984.0,1037.0,15000.0,15000.0,6200.0,700.0,86.0,15.1,11220.0,94.0,30.0
144,3712.0,2153.0,806.0,2677.0,714.0,12030.0,12030.0,6140.0,1000.0,63.0,12.0,8847.0,86.0,17.0
145,2307.0,1896.0,509.0,1707.0,1889.0,11070.0,11070.0,5780.0,400.0,71.0,14.8,7120.0,82.0,19.0
146,3852.0,2652.0,1044.0,5892.0,2478.0,1842.0,5962.0,4796.0,700.0,62.0,15.8,5245.0,45.0,4.0
147,292.0,241.0,96.0,543.0,712.0,12200.0,12200.0,4600.0,650.0,87.0,11.2,8680.0,76.0,20.0
148,3058.0,1798.0,478.0,1737.0,244.0,18810.0,18810.0,5690.0,500.0,91.0,10.4,18034.0,91.0,46.0
151,5081.0,4040.0,1194.0,3768.0,1415.0,14220.0,14220.0,6000.0,500.0,61.0,10.7,10625.0,66.0,11.0
153,2172.0,1493.0,564.0,2766.0,1531.0,1842.0,5962.0,4316.0,650.0,71.0,16.9,5719.0,50.0,14.0
155,9735.0,7187.0,2064.0,12478.0,1660.0,3824.0,11656.0,5072.0,700.0,89.0,16.0,10178.0,71.0,23.0
157,1754.0,1465.0,505.0,2159.0,211.0,13712.0,13712.0,6408.0,526.0,90.0,9.3,12751.0,75.0,24.0
159,7875.0,5062.0,1492.0,5471.0,1470.0,17450.0,17450.0,6328.0,700.0,92.0,7.6,14745.0,72.0,38.0
160,11115.0,2881.0,1390.0,5881.0,406.0,18300.0,18300.0,7131.0,670.0,91.0,7.2,19635.0,95.0,71.0
163,247.0,189.0,100.0,309.0,639.0,11412.0,11412.0,6430.0,500.0,89.0,8.3,11806.0,96.0,19.0
166,633.0,468.0,284.0,823.0,963.0,6120.0,6120.0,2985.0,531.0,25.0,27.6,6081.0,36.0,10.0
168,980.0,807.0,350.0,872.0,448.0,9890.0,9890.0,4674.0,500.0,52.0,14.4,6243.0,84.0,10.0
170,990.0,784.0,279.0,1811.0,3144.0,11290.0,11290.0,5360.0,600.0,76.0,12.6,9084.0,72.0,18.0
171,1646.0,1150.0,542.0,2128.0,82.0,5188.0,5188.0,3396.0,650.0,48.0,13.8,6817.0,58.0,12.0
173,1947.0,1580.0,523.0,1863.0,233.0,13900.0,13900.0,4140.0,750.0,90.0,10.6,8923.0,57.0,39.0
175,3151.0,2584.0,958.0,4772.0,856.0,7800.0,7800.0,3750.0,570.0,37.0,16.5,12878.0,44.0,14.0
179,1422.0,1109.0,366.0,1363.0,23.0,15360.0,15360.0,4080.0,600.0,82.0,12.8,15003.0,59.0,33.0
180,1381.0,1040.0,374.0,1506.0,970.0,8025.0,8025.0,4865.0,400.0,65.0,17.4,6339.0,68.0,20.0
185,1777.0,1151.0,382.0,1668.0,1052.0,16425.0,16425.0,5220.0,955.0,81.0,13.3,11561.0,90.0,31.0
187,1557.0,1227.0,489.0,1964.0,81.0,12315.0,12315.0,4565.0,600.0,85.0,12.5,10307.0,73.0,37.0
189,7122.0,5386.0,1643.0,7760.0,876.0,16500.0,16500.0,6526.0,630.0,82.0,5.9,17500.0,59.0,42.0
192,280.0,143.0,79.0,327.0,110.0,5590.0,5590.0,2900.0,650.0,53.0,15.1,4839.0,90.0,5.0
194,1558.0,1254.0,472.0,3754.0,2477.0,1597.0,6172.0,3994.0,541.0,83.0,23.4,8488.0,53.0,20.0
195,1415.0,714.0,338.0,1345.0,44.0,5120.0,5120.0,3200.0,500.0,52.0,18.1,3930.0,69.0,18.0
199,1800.0,1253.0,560.0,3876.0,3588.0,1732.0,6634.0,4360.0,600.0,82.0,17.8,6104.0,47.0,44.0
200,417.0,349.0,137.0,510.0,63.0,12960.0,12960.0,5450.0,450.0,92.0,7.7,19016.0,59.0,60.0
201,1461.0,1097.0,580.0,2035.0,321.0,1772.0,4535.0,2754.0,675.0,65.0,17.0,6238.0,62.0,10.0
205,1858.0,1221.0,480.0,1620.0,49.0,8050.0,8050.0,3940.0,350.0,80.0,16.3,10511.0,63.0,37.0
206,367.0,274.0,158.0,917.0,479.0,9592.0,9592.0,5879.0,500.0,71.0,13.7,5935.0,49.0,12.0
207,1436.0,1228.0,1202.0,1320.0,822.0,4371.0,4371.0,2370.0,500.0,62.0,12.6,4900.0,18.0,10.0
217,544.0,399.0,177.0,600.0,363.0,6987.0,6987.0,3585.0,750.0,77.0,12.5,9067.0,75.0,15.0
218,2286.0,1668.0,564.0,2943.0,1260.0,11985.0,11985.0,4081.0,400.0,93.0,9.2,8995.0,91.0,37.0
219,3708.0,1678.0,722.0,2852.0,153.0,7050.0,7050.0,5490.0,250.0,71.0,17.8,8122.0,83.0,41.0
222,792.0,649.0,186.0,769.0,377.0,12900.0,12900.0,4340.0,600.0,91.0,13.1,8568.0,67.0,56.0
224,663.0,562.0,127.0,641.0,63.0,5640.0,5640.0,3620.0,600.0,89.0,13.2,7309.0,31.0,20.0
226,540.0,445.0,165.0,1115.0,111.0,7210.0,7210.0,3600.0,500.0,62.0,13.2,7356.0,58.0,23.0
227,3713.0,1237.0,443.0,1971.0,107.0,7000.0,7000.0,5565.0,660.0,73.0,12.5,9988.0,65.0,47.0
231,305.0,287.0,109.0,382.0,46.0,11500.0,11500.0,4500.0,515.0,68.0,7.6,11605.0,52.0,38.0
234,407.0,317.0,181.0,468.0,31.0,9700.0,9700.0,3744.0,470.0,73.0,19.0,8614.0,56.0,21.0
238,3580.0,2603.0,1627.0,11028.0,2411.0,1460.0,4460.0,3038.0,687.0,85.0,11.8,12833.0,54.0,36.0
240,1499.0,779.0,500.0,2082.0,871.0,480.0,2920.0,4270.0,714.0,72.0,15.8,11460.0,31.0,20.0
241,392.0,351.0,155.0,738.0,430.0,10260.0,10260.0,3597.0,600.0,39.0,13.1,8355.0,58.0,16.0
242,860.0,688.0,285.0,1928.0,442.0,13306.0,13306.0,3797.0,450.0,62.0,8.8,6333.0,78.0,32.0
243,1283.0,1113.0,401.0,1355.0,40.0,10938.0,10938.0,3660.0,650.0,76.0,13.5,8444.0,67.0,31.0
244,460.0,340.0,167.0,604.0,350.0,10740.0,10740.0,3676.0,350.0,67.0,11.0,7963.0,74.0,14.0
245,1006.0,742.0,275.0,1127.0,205.0,13925.0,13925.0,4390.0,500.0,73.0,12.7,10141.0,67.0,29.0
246,1538.0,1329.0,383.0,1140.0,10.0,15248.0,15248.0,4323.0,550.0,71.0,12.2,10340.0,64.0,33.0
247,604.0,562.0,328.0,1048.0,56.0,9800.0,9800.0,2650.0,450.0,61.0,12.5,7325.0,87.0,25.0
248,2799.0,2573.0,839.0,3322.0,726.0,13420.0,13420.0,4770.0,560.0,88.0,15.0,9473.0,77.0,34.0
249,555.0,414.0,242.0,996.0,2281.0,9100.0,9100.0,3100.0,550.0,51.0,23.6,5609.0,47.0,14.0
250,535.0,511.0,233.0,1098.0,380.0,9820.0,9820.0,3360.0,570.0,32.0,12.6,6687.0,32.0,11.0
251,2039.0,1389.0,432.0,1333.0,30.0,15688.0,15688.0,4618.0,400.0,88.0,9.5,18979.0,83.0,56.0
254,1641.0,1283.0,527.0,1663.0,170.0,11200.0,11200.0,4000.0,500.0,61.0,14.2,7578.0,70.0,20.0
255,1549.0,1392.0,587.0,2269.0,85.0,13240.0,13240.0,3560.0,600.0,73.0,13.8,8949.0,77.0,38.0
257,586.0,533.0,239.0,950.0,228.0,10520.0,10520.0,3678.0,500.0,48.0,13.0,8111.0,56.0,16.0
258,368.0,317.0,159.0,806.0,542.0,10500.0,10500.0,3555.0,500.0,44.0,11.3,6695.0,64.0,20.0
259,325.0,284.0,95.0,364.0,88.0,9900.0,9900.0,3650.0,500.0,32.0,13.6,6525.0,21.0,16.0
260,860.0,811.0,366.0,1040.0,52.0,9900.0,9900.0,3075.0,300.0,68.0,14.9,6357.0,68.0,22.0
261,1016.0,872.0,300.0,1116.0,602.0,11250.0,11250.0,4980.0,550.0,66.0,15.8,7411.0,70.0,27.0
262,897.0,718.0,276.0,1345.0,390.0,10450.0,10450.0,4020.0,500.0,56.0,14.1,7444.0,70.0,12.0
263,4144.0,3379.0,1853.0,10135.0,1448.0,2291.0,6197.0,2930.0,595.0,78.0,16.3,6333.0,77.0,18.0
264,576.0,558.0,137.0,662.0,131.0,10430.0,10430.0,3620.0,400.0,85.0,16.5,8767.0,45.0,11.0
266,663.0,452.0,192.0,1481.0,1160.0,8840.0,8840.0,3060.0,500.0,69.0,17.4,3733.0,78.0,10.0
267,1231.0,1074.0,345.0,1295.0,105.0,11600.0,11600.0,3610.0,400.0,66.0,12.4,7735.0,67.0,34.0
269,326.0,294.0,140.0,630.0,107.0,10000.0,10000.0,3110.0,495.0,35.0,13.3,7057.0,40.0,10.0
271,587.0,479.0,158.0,678.0,41.0,13500.0,13500.0,3335.0,500.0,67.0,9.4,9727.0,55.0,38.0
274,616.0,514.0,385.0,1115.0,60.0,9840.0,9840.0,2820.0,450.0,59.0,14.8,6261.0,58.0,29.0
275,3133.0,2799.0,1337.0,7242.0,1431.0,1548.0,5962.0,3540.0,832.0,82.0,13.5,8805.0,45.0,24.0
276,1879.0,1658.0,497.0,1950.0,38.0,13353.0,13353.0,4173.0,540.0,78.0,12.7,9220.0,71.0,36.0
278,261.0,192.0,111.0,453.0,266.0,9690.0,9690.0,4300.0,500.0,57.0,9.7,9337.0,71.0,15.0
279,500.0,336.0,156.0,421.0,27.0,6500.0,6500.0,2700.0,500.0,76.0,14.3,8377.0,51.0,25.0
281,422.0,305.0,160.0,781.0,240.0,9810.0,9810.0,4160.0,400.0,52.0,17.5,9729.0,80.0,30.0
283,528.0,403.0,186.0,1168.0,145.0,9216.0,9216.0,4191.0,400.0,56.0,12.1,7309.0,75.0,22.0
284,4815.0,3551.0,1227.0,6069.0,3719.0,11214.0,11214.0,4932.0,600.0,69.0,16.1,8322.0,63.0,30.0
285,5597.0,4253.0,1565.0,9161.0,845.0,1902.0,5710.0,3066.0,120.0,62.0,16.2,5682.0,76.0,12.0
286,560.0,454.0,113.0,484.0,16.0,10955.0,10955.0,3450.0,330.0,62.0,10.6,9552.0,53.0,36.0
287,510.0,387.0,194.0,771.0,53.0,10310.0,10310.0,4530.0,400.0,57.0,14.3,8222.0,60.0,20.0
288,894.0,787.0,262.0,909.0,28.0,8050.0,8050.0,3850.0,600.0,75.0,15.6,7348.0,52.0,28.0
289,1756.0,1360.0,478.0,1911.0,626.0,14550.0,14550.0,4620.0,500.0,80.0,12.3,12851.0,56.0,42.0
290,8681.0,6695.0,2408.0,15701.0,1823.0,2600.0,7799.0,3403.0,537.0,77.0,21.0,5569.0,54.0,10.0
293,3050.0,1342.0,471.0,1818.0,23.0,14360.0,14360.0,4090.0,400.0,77.0,12.9,9605.0,83.0,55.0
294,313.0,228.0,137.0,552.0,67.0,9414.0,9414.0,4554.0,500.0,34.0,10.6,7840.0,56.0,10.0
295,150.0,150.0,121.0,338.0,33.0,6900.0,6900.0,4851.0,800.0,24.0,15.9,8812.0,80.0,15.0
296,1040.0,845.0,286.0,967.0,24.0,15747.0,15747.0,4062.0,400.0,88.0,12.7,13224.0,79.0,48.0
297,979.0,638.0,271.0,968.0,20.0,16880.0,16880.0,3970.0,920.0,91.0,10.7,15687.0,77.0,31.0
298,1154.0,1050.0,395.0,2192.0,1423.0,10560.0,10560.0,4520.0,500.0,36.0,14.3,7701.0,61.0,12.0
299,3579.0,2959.0,868.0,5244.0,3417.0,11500.0,11500.0,5330.0,700.0,94.0,6.2,13009.0,65.0,25.0
300,740.0,558.0,177.0,628.0,63.0,9620.0,9620.0,3750.0,550.0,49.0,10.8,10642.0,59.0,12.0
301,1002.0,555.0,119.0,836.0,684.0,7680.0,7680.0,3740.0,500.0,70.0,17.7,6652.0,52.0,16.0
302,1444.0,1261.0,456.0,1788.0,95.0,11910.0,11910.0,4378.0,450.0,60.0,11.4,8149.0,75.0,29.0
303,601.0,503.0,204.0,671.0,11.0,13000.0,13000.0,4100.0,400.0,91.0,11.6,11087.0,56.0,28.0
304,513.0,347.0,279.0,2508.0,505.0,9090.0,9090.0,4500.0,650.0,62.0,18.3,7905.0,71.0,23.0
305,1127.0,884.0,308.0,1310.0,766.0,11718.0,11718.0,7398.0,450.0,73.0,16.4,8871.0,76.0,30.0
306,465.0,361.0,176.0,879.0,156.0,12580.0,12580.0,4345.0,400.0,76.0,13.1,10889.0,74.0,19.0
307,10706.0,7219.0,2397.0,14826.0,1979.0,2600.0,7799.0,3296.0,470.0,73.0,17.3,6086.0,56.0,12.0
311,1025.0,707.0,297.0,1070.0,72.0,10100.0,10100.0,4140.0,450.0,69.0,16.3,6880.0,80.0,22.0
313,422.0,367.0,218.0,1700.0,2902.0,8580.0,8580.0,5100.0,600.0,75.0,12.2,8995.0,77.0,13.0
314,434.0,321.0,141.0,624.0,269.0,10950.0,10950.0,4600.0,550.0,79.0,12.9,9264.0,81.0,28.0
316,2540.0,2195.0,994.0,6063.0,2550.0,1824.0,5472.0,3598.0,221.0,76.0,16.5,7498.0,43.0,13.0
317,607.0,558.0,269.0,1222.0,519.0,10500.0,10500.0,4348.0,650.0,81.0,11.6,8324.0,75.0,22.0
318,785.0,647.0,295.0,1670.0,726.0,10860.0,10860.0,4624.0,600.0,87.0,13.7,8953.0,55.0,15.0
319,746.0,473.0,317.0,834.0,50.0,9600.0,9600.0,4110.0,600.0,54.0,21.9,5252.0,28.0,39.0
322,8384.0,5727.0,2710.0,13518.0,2916.0,2520.0,7230.0,5088.0,630.0,82.0,10.0,13883.0,34.0,22.0
323,6491.0,5027.0,1563.0,9015.0,1449.0,1902.0,5706.0,3193.0,600.0,77.0,17.2,6566.0,55.0,6.0
324,1432.0,920.0,548.0,2200.0,56.0,11480.0,11480.0,4200.0,530.0,81.0,12.7,11916.0,85.0,56.0
325,1216.0,908.0,423.0,1819.0,281.0,10100.0,10100.0,3520.0,550.0,48.0,12.1,7994.0,59.0,19.0
328,2362.0,2037.0,700.0,2607.0,148.0,13130.0,13130.0,4650.0,500.0,77.0,10.9,9511.0,83.0,40.0
329,1994.0,1656.0,495.0,1983.0,36.0,14300.0,14300.0,5020.0,550.0,78.0,11.1,11525.0,82.0,50.0
330,1358.0,1006.0,274.0,1028.0,13.0,15036.0,15036.0,4056.0,600.0,90.0,10.6,14634.0,78.0,35.0
331,2096.0,1626.0,694.0,2551.0,407.0,11800.0,11800.0,4340.0,700.0,60.0,15.8,7780.0,77.0,35.0
332,804.0,632.0,281.0,840.0,68.0,10390.0,10390.0,4040.0,525.0,54.0,12.5,11751.0,60.0,29.0
333,440.0,396.0,221.0,910.0,166.0,9420.0,9420.0,3730.0,600.0,51.0,9.9,10270.0,72.0,26.0
334,548.0,428.0,167.0,618.0,113.0,8958.0,8958.0,3670.0,300.0,53.0,15.3,9798.0,64.0,18.0
335,1006.0,837.0,317.0,1024.0,15.0,8200.0,8200.0,3485.0,500.0,84.0,10.6,9248.0,64.0,33.0
336,450.0,430.0,125.0,488.0,43.0,9950.0,9950.0,3920.0,300.0,76.0,11.8,9466.0,47.0,20.0
337,1487.0,1276.0,388.0,1417.0,1646.0,11120.0,11120.0,4080.0,525.0,55.0,11.1,6735.0,69.0,26.0
339,2379.0,2133.0,1292.0,4283.0,2973.0,2040.0,4973.0,3192.0,500.0,56.0,22.0,4078.0,38.0,8.0
348,1004.0,802.0,239.0,909.0,51.0,10440.0,10440.0,3850.0,525.0,63.0,11.8,7940.0,64.0,23.0
349,770.0,542.0,238.0,923.0,427.0,9990.0,9990.0,3822.0,450.0,38.0,10.4,7799.0,61.0,15.0
351,495.0,465.0,275.0,695.0,193.0,7620.0,7260.0,2984.0,740.0,41.0,11.5,5514.0,62.0,18.0
355,213.0,166.0,85.0,513.0,247.0,8670.0,8670.0,3820.0,450.0,43.0,12.5,7440.0,48.0,13.0
356,920.0,684.0,225.0,815.0,222.0,11200.0,11200.0,4250.0,600.0,55.0,14.8,7360.0,67.0,24.0
358,150.0,130.0,88.0,341.0,768.0,10300.0,10300.0,4130.0,500.0,44.0,10.2,9678.0,75.0,23.0
359,888.0,734.0,393.0,1433.0,27.0,12730.0,12730.0,4514.0,500.0,74.0,9.9,11165.0,98.0,26.0
361,1769.0,1092.0,437.0,1757.0,81.0,10965.0,10965.0,4000.0,450.0,60.0,14.2,8294.0,98.0,41.0
362,1262.0,1102.0,276.0,978.0,98.0,9456.0,9456.0,4350.0,468.0,53.0,12.8,7603.0,65.0,14.0
364,2075.0,1727.0,520.0,2501.0,198.0,11800.0,11800.0,3260.0,500.0,87.0,14.2,9681.0,95.0,49.0
365,800.0,623.0,256.0,801.0,5.0,12925.0,12925.0,4195.0,500.0,78.0,9.9,14904.0,72.0,41.0
366,5659.0,4761.0,3147.0,8596.0,1949.0,2802.0,6892.0,3706.0,600.0,72.0,16.6,6996.0,40.0,10.0
367,602.0,483.0,206.0,958.0,466.0,8620.0,8620.0,4100.0,400.0,58.0,11.0,6136.0,65.0,21.0
368,878.0,816.0,200.0,706.0,62.0,8740.0,8740.0,3363.0,550.0,62.0,11.6,7718.0,48.0,16.0
369,202.0,184.0,122.0,537.0,101.0,8540.0,8540.0,3580.0,500.0,61.0,8.8,8324.0,56.0,19.0
371,358.0,276.0,172.0,838.0,122.0,8516.0,8516.0,3130.0,650.0,55.0,25.0,4962.0,49.0,5.0
372,1419.0,1313.0,813.0,4469.0,499.0,1778.0,5424.0,3000.0,300.0,52.0,23.2,1834.0,58.0,11.0
373,1256.0,1256.0,853.0,3957.0,588.0,1729.0,5401.0,3144.0,450.0,72.0,19.3,5527.0,50.0,43.0
374,5880.0,4075.0,2833.0,14914.0,2246.0,1713.0,6995.0,3120.0,600.0,76.0,18.5,6122.0,54.0,25.0
375,589.0,575.0,148.0,474.0,258.0,8400.0,8400.0,3250.0,500.0,63.0,12.4,6535.0,68.0,16.0
